Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak
12/31/2017,59055,3225,NH,Laconia,Belknap,Barnstead,12144,188900,0.006929638,0.02718869,0.068438914,0.033895628,-0.006090538,2006-03,2006-Q1,207200,-0.088320463
12/31/2017,82443,55779,MN,Duluth,Saint Louis,Saginaw,12145,188500,-0.006325778000000001,-0.016179541000000002,0.026129559,0.049000006,0.017101085,2017-06,2017-Q2,191900,-0.017717561
12/31/2017,73287,35049,AL,Birmingham,Blount,Cleveland,12146,133300,-0.002245509,0.01138088,0.008320726,0.035434009,0.01039821,2016-11,2016-Q4,134200,-0.0067064080000000005
12/31/2017,78890,47993,IN,,Warren,Williamsport,12147,87100,0.00461361,0.010440835,0.053204352999999996,0.018940896000000002,0.0009231539999999999,2004-12,2004-Q4,101600,-0.142716535
12/31/2017,88406,69357,NE,Scottsbluff,Scotts Bluff,Mitchell,12148,111300,-0.029642546000000002,-0.030487805,-0.098785425,0.018404457,,2016-12,2016-Q4,123500,-0.098785425
12/31/2017,64879,17048,PA,Harrisburg,Dauphin,Lykens Township,12149,98400,-0.012048193,-0.008064515999999999,-0.04,0.029226834,0.011809388,2017-01,2017-Q1,103900,-0.052935515
12/31/2017,79364,48757,MI,,Tuscola,Reese,12150,116300,0.033777778,0.07784986099999999,0.125847047,0.057111412,-0.0019564260000000003,2005-09,2005-Q3,141600,-0.17867231600000003
12/31/2017,81230,53125,WI,Whitewater,Walworth,Fontana,12151,331700,-0.004202942,-0.005993406999999999,0.042753850999999995,0.028015317999999997,-0.010412103,2008-01,2008-Q1,368800,-0.100596529
12/31/2017,58929,2831,RI,Providence,Providence,Scituate,12152,321000,0.005009393,0.013897663000000001,0.040181465,0.052872188,-0.004259842,2006-07,2006-Q3,362300,-0.11399392800000001
12/31/2017,68016,24149,VA,Blacksburg,Montgomery,Riner,12153,177600,-0.002807412,0.014277556,0.028372901000000002,0.021730727999999998,0.00581219,2009-02,2009-Q1,183600,-0.032679739
12/31/2017,60783,7737,NJ,New York,Monmouth,Middletown,12154,331600,-0.0039050770000000003,-0.002706767,0.071405493,0.037538096,-0.00941511,2008-01,2008-Q1,364900,-0.091257879
12/31/2017,73259,35006,AL,Birmingham,Jefferson,North Johns,12155,79400,-0.0075,0.006337136,0.13266761800000001,0.026107863999999998,,2017-11,2017-Q4,80000,-0.0075
12/31/2017,60839,7852,NJ,New York,Morris,Roxbury Township,12156,297900,0.004721754,0.020205479,0.054513274,0.027351991000000003,-0.015367668000000001,2006-02,2006-Q1,372000,-0.199193548
12/31/2017,75033,38850,MS,,Chickasaw,New Houlka,12157,66100,-0.029368576,-0.04341534,-0.042028986,0.0,0.009897887,2009-06,2009-Q2,79400,-0.167506297
12/31/2017,62573,12449,NY,Kingston,Ulster,Lake Katrine,12158,172900,0.006402794,0.021867612,0.08673790099999999,0.034116635,-0.016500993000000002,2006-09,2006-Q3,210600,-0.17901234600000002
12/31/2017,90610,74966,OK,Fort Smith,LeFlore,Wister,12159,84000,0.010830325,0.014492753999999998,0.07006369400000001,0.050371147000000005,,2017-12,2017-Q4,84000,0.0
12/31/2017,79505,49012,MI,Kalamazoo,Kalamazoo,Augusta,12160,174500,-0.013566986999999999,-0.010770975,-0.01300905,0.032238722000000004,0.005430968,2017-08,2017-Q3,177700,-0.018007878
