Date,US ALL EMPS - NONFARM INDUSTRIES TOTAL (PAYROLL SURVEY) VOLA,US TOTAL CIVILIAN EMPLOYMENT VOLA,US UNEMPLOYED (16 YRS & OVER) VOLA,US UNEMPLOYMENT RATE SADJ,US JOB OPENINGS: TOTAL NONFARM (LEVEL) VOLN,US AHE: PROD EMPS - TOTAL PRIVATE CURA,US AHE: PROD EMPS - MANUFACTURING CURN,US CHALLENGER JOB-CUT ANNOUNCEMENTS VOLN,US CONSUMER CREDIT OUTSTANDING CURA,US CONSUMER CONFIDENCE INDEX SADJ,"US RETAIL SALES & FOOD SERVICES, TOTAL CURA",US POPULATION (ESTIMATES USED IN TIOL ACCOUNTS) VOLN,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US CPI- ALL URBAN SAMPLE: ALL ITEMS - ANNUAL INFLATION RATE DJ,US NEW PASSENGER CARS - TOTAL REGISTRATIONS VOLN,US AUTODATA RETAIL SALES OF NEW LIGHT VEHICLES: TOTAL (AR) VOLA,US AUTODATA RETAIL SALES OF NEW LIGHT VEHICLES: DOM. (AR) VOLA,US AUTODATA RETAIL SALES OF NEW CARS: DOMESTIC (AR) VOLA,US AUTODATA RETAIL SALES OF NEW LIGHT TRUCKS: DOMESTIC (AR) VOLA,US SALES OF NEW ONE FAMILY HOUSES (AR) VOLA,US PENDING HOME SALES INDEX (AR) SADJ,US TIOL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US CAPACITY UTILIZATION RATE - ALL INDUSTRY SADJ,US ISM PURCHASING MAGERS INDEX (MFG SURVEY) SADJ,US ISM NONMANUFACTURERS SURVEY INDEX: COMPOSITE DJ,US PHILADELPHIA FED MBOS: GENL BUS ACTIV - INDEX SADJ,US EMPIRE STATE MFG SURVEY DIFFUSION INDEX: GENERAL BUS CONDITIO,US INDUSTRIAL PRODUCTION - TOTAL INDEX VOLA,US CONSTRUCTION EXPENDITURES - TOTAL (AR) CURA,US NEW ORDERS - ALL MANUFACTURING INDUSTRIES CURA,"US NEW ORDERS - MANUFACTURING, EXCLUDING TRANSPORTATION CURA",US BUSINESS INVENTORIES (MFG & TRADE) CURA,US WHOLESALE TRADE INVENTORIES - TOTAL CURA,US PPI - FIL DEMAND SADJ,US PPI - FIL DEMAND LESS FOODS AND ENERGY SADJ,,US FEDERAL GOVERNMENT BUDGET BALANCE CURN,US TOTAL TREASURY SECURITIES OUTSTANDING (PUBLIC DEBT) CURN,US FOREIGN RESERVE ASSETS CURN,US EXPORTS F.A.S. CURA,US IMPORTS F.A.S. CURA,US VISIBLE TRADE BALANCE F.A.S.-F.A.S. CURA,US US $ TO EURO NOON NY (EP) DJ,US TRADE-WEIGHTED VALUE OF US DOLLAR AGAINST MAJOR CURRENCIES,US EXP - ALL COMMODITIES (END USE) DJ,US IMP - ALL COMMODITIES (END USE) DJ,US PPI - FIL DEMAND DJ,US THE CONFERENCE BOARD LEADING ECONOMIC INDICATORS INDEX SADJ,US MONEY SUPPLY M2 (BCI 106) CO,US CONSUMER CONFIDENCE INDEX SADJ,US TIOL ASSOCIATION OF HOME BUILDERS HOUSING MARKET INDEX,US ISM PURCHASING MAGERS INDEX (MFG SURVEY) SADJ,US ISM NONMANUFACTURERS SURVEY INDEX: COMPOSITE DJ,US CHICAGO PURCHASING MAGER BUSINESS BAROMETER (SA) SADJ,US PHILADELPHIA FED MBOS: GENL BUS ACTIV - INDEX SADJ,US EMPIRE STATE MFG SURVEY DIFFUSION INDEX: GENERAL BUS CONDITIO,US TIPP ECONOMIC OPTIMISM INDEX: OVERALL DJ,US PERSOL INCOME (MONTHLY SERIES) (AR) CURA,US PERSOL SAVING AS % OF DISPOSABLE PERSOL INCOME SADJ,US DISPOSABLE PERSOL INCOME (AR) CURA,US PERSOL CONSUMPTION EXPENDITURES (AR) CURA,US CHAIN-TYPE PRICE INDEX FOR PCE LESS FOOD & ENERGY SADJ,US FOREIGN RESERVE ASSETS CURN,US US $ TO EURO NOON NY (EP) DJ,US TRADE-WEIGHTED VALUE OF US DOLLAR AGAINST MAJOR CURRENCIES,US MONETARY BASE CURN,US MONEY SUPPLY M1 CURN,US FEDERAL FUNDS RATE (MONTHLY AVERAGE) DJ,US TREASURY BILL RATE - 3 MONTH (EP) DJ,US INTERBANK RATE - 3 MONTH (LONDON) (MONTH AVG) DJ,US PRIME RATE CHARGED BY BANKS (MONTH AVG) DJ,US TREASURY YIELD ADJUSTED TO CONSTANT MATURITY - 20 YEAR DJ,US TOTAL TREASURY SECURITIES OUTSTANDING (PUBLIC DEBT) CURN,US FOREIGN NET LONG TERM FLOWS IN SECURITIES CURN,US COMMERCIAL BANK ASSETS - LOANS & LEASES IN BANK CREDIT CURA,US COMMERCIAL BANK ASSETS - COMMERCIAL & INDUSTRIAL LOANS CURA,US CPI - ALL URBAN: ALL ITEMS SADJ,US CPI - ALL ITEMS LESS FOOD & ENERGY (CORE) SADJ,US EXP - ALL COMMODITIES (END USE) DJ,US IMP - ALL COMMODITIES (END USE) DJ,US PPI - FIL DEMAND SADJ,US PPI - FIL DEMAND LESS FOODS AND ENERGY SADJ,SPX 500 Percent Shift Next Month
1/15/90,109185,119081,6752,5.4,,10.02,10.52,,797.71486,106.5,,248743,127.5,132.1,5.2,619,,,,,620,,42,82.361,47.2,,-7.5,,63.7117,488.197,,,,,,,,8282,2974600,75506,31613.2,41380.4,-9767.2,,92.4069,95.2,92.5,,82.8,4792.6,106.5,42,47.2,,47.4,-7.5,,,4782.4,7.4,4206.5,3747.19,67.132,75506,,92.4069,293132,800.7,8.23,8,8.3494,10.11,8.21,2974600,3437,1973.7915,635.7111,127.5,132.1,95.2,92.5,,,0.008538957
2/15/90,109433,119059,6651,5.3,,10.07,10.61,,798.77319,106.7,,248920,128,132.7,5.26,657,,,,,591,,44,82.9984,49.1,,-22.1,,64.3504,499.161,,,,,,,,-35207,2994400,74174,31709.6,39164.4,-7454.8,,92.449,94.6,92.7,,82.6,4790.5,106.7,44,49.1,,50,-22.1,,,4818.7,8.1,4235.4,3744.775,67.453,74174,,92.449,287719,786.7,8.24,8.05,8.3656,10,8.47,2994400,1863,1982.7659,636.5135,128,132.7,94.6,92.7,,,0.024255024
3/15/90,109648,119203,6598,5.2,,10.11,10.69,,798.74809,110.6,,249146,128.6,133.5,5.23,773,,,,,574,,40,83.2298,49.9,,-21.8,,64.6721,495.683,,,,,,,,-53324,3052000,76303,33187.4,41830,-8642.6,,94.3127,94.8,92.4,,82.7,4789.4,110.6,40,49.9,,52.9,-21.8,,,4838.6,7.8,4250.3,3771.526,67.769,76303,,94.3127,292402,794.5,8.28,8.05,8.4915,10,8.59,3052000,-21168,1990.5585,638.3609,128.6,133.5,94.8,92.4,,,-0.026887098
4/15/90,109687,118852,6797,5.4,,10.12,10.68,,798.74701,107.3,,249436,128.9,134,4.71,751,,,,,542,,39,82.9584,50,,-9,,64.5975,490.202,,,,,,,,41829,3061000,76283,32044.4,39796.9,-7752.5,,94.308,95.1,91.6,,82.3,4796.3,107.3,39,50,,54,-9,,,4877.6,8.2,4285,3786.691,67.976,76283,,94.308,297404,816.2,8.26,8.05,8.5699,10,8.79,3061000,214,1999.5729,640.8812,128.9,134,95.1,91.6,,,0.091989117
5/15/90,109839,119151,6742,5.4,,10.16,10.75,,799.75103,107.3,,249707,129.1,134.4,4.36,819,,,,,534,,36,82.9255,49.5,,-16.5,,64.7028,485.704,,,,,,,,-42482,3095200,77028,32511.2,40599.8,-8088.6,,93.0176,95.3,91.2,,82.4,4784.4,107.3,36,49.5,,55.2,-16.5,,,4878.3,8,4284.9,3792.528,68.176,77028,,93.0176,297279,795.5,8.18,8.01,8.4754,10,8.76,3095200,-8011,2007.4095,639.789,129.1,134.4,95.3,91.2,,,-0.008886305
6/15/90,109861,118983,6590,5.2,,10.2,10.79,,802.89274,102.4,,249990,129.9,135.1,4.67,861,,,,,545,,36,83.0405,49.2,,-8.6,,64.9174,481.307,,,,,,,,-11105,3143800,77299,33695.9,40687,-6991.1,,93.0054,95.1,90.8,,82.4,4782.9,102.4,36,49.2,,53.2,-8.6,,,4910.8,7.9,4313.2,3821.269,68.439,77299,,93.0054,301742,809,8.29,8,8.3519,10,8.48,3143800,2217,2015.9781,641.5352,129.9,135.1,95.1,90.8,,,-0.005223172
7/15/90,109830,118810,6922,5.5,,10.22,10.81,,806.8875,101.7,,250285,130.5,135.8,4.82,779,,,,,542,,32,82.7965,46.6,,-18.1,,64.8436,485.8,,,,,,,,-25924,3168800,77906,32307.7,41315.8,-9008.1,,90.468,95.3,90.5,,82,4787.8,101.7,32,46.6,,50.3,-18.1,,,4938.9,8,4338.9,3838.466,68.602,77906,,90.468,303888,811,8.15,7.73,8.2209,10,8.47,3168800,7460,2020.0519,639.9506,130.5,135.8,95.3,90.5,,,-0.094314193
8/15/90,109614,118802,7188,5.7,,10.24,10.76,,808.75857,84.7,,250595,131.6,136.6,5.62,777,,,,,528,,30,82.9104,46.1,,-18.2,,65.043,477.014,,,,,,,,-52719,3211700,78909,32557.2,41795.6,-9238.4,,88.1775,95.4,93.3,,80.9,4781.9,84.7,30,46.1,,49.1,-18.2,,,4941.8,7.5,4342.2,3864.998,68.889,78909,,88.1775,305147,812.7,8.13,7.62,8.0909,10,8.75,3211700,2159,2028.6026,640.3797,131.6,136.6,95.4,93.3,,,-0.051184276
9/15/90,109524,118524,7368,5.9,,10.28,10.89,,810.43623,85.6,,250904,132.5,137.1,6.16,825,,,,,496,,31,82.8988,44.5,,-43.4,,65.1372,464.882,,,,,,,,20768,3233400,80024,32311.6,41343.8,-9032.2,,87.0211,95.8,96.5,,79.9,4771.1,85.6,31,44.5,,48.8,-43.4,,,4971.2,7.5,4368.6,3886.74,69.133,80024,,87.0211,308033,817.1,8.2,7.37,8.1875,10,8.89,3233400,-2632,2031.5789,639.4952,132.5,137.1,95.8,96.5,,,-0.006698252
10/15/90,109364,118536,7459,5.9,,10.3,10.9,,812.65511,62.6,,251201,133.4,137.6,6.29,787,,,,,465,,28,82.1491,43.2,,-48.2,,64.6442,461.242,,,,,,,,-31364,3275000,82852,34492.6,43875.5,-9382.9,,84.4191,96.6,99.3,,78.8,4751,62.6,28,43.2,,46,-48.2,,,4959.3,7.3,4358.4,3887.105,69.364,82852,,84.4191,308764,816.1,8.11,7.36,8.1692,10,8.72,3275000,-7104,2039.4123,637.5229,133.4,137.6,96.6,99.3,,,0.059934211
11/15/90,109215,118306,7764,6.2,,10.32,10.9,,813.66266,61.7,,251486,133.7,138,6.27,683,,,,,493,,25,81.0718,41.3,,-27.1,,63.8853,456.356,,,,,,,,-47723,3330700,83060,33581.1,43066.4,-9485.3,,83.7726,96.7,98.7,,77.4,4750.1,61.7,25,41.3,,44.8,-27.1,,,4965.2,7.4,4364.9,3888.399,69.443,83060,,83.7726,313670,824.6,7.81,7.25,8.1648,10,8.39,3330700,9516,2043.3187,639.1662,133.7,138,96.7,98.7,,,0.024827757
12/15/90,109159,118241,7901,6.3,,10.35,11,,808.23057,61.2,,251758,134.2,138.6,6.11,683,,,,,464,,22,80.4344,40.8,,-37.1,,63.4658,449.638,,,,,,,,-7387,3364800,83316,33800.3,39986.1,-6185.8,,85.0981,96.3,98.4,,76.7,4759.6,61.2,22,40.8,,43.7,-37.1,,,4994.1,8.2,4392.8,3877.84,69.53,83316,,85.0981,315270,842.7,7.31,6.63,7.9219,10,8.08,3364800,-391,2052.8148,641.5047,134.2,138.6,96.3,98.4,,,0.041517776
1/15/91,109042,117940,8015,6.4,,10.38,10.98,,806.6005,55.1,,252012,134.7,139.5,5.65,599,,,,,401,,20,79.9885,39.2,,-32,,63.1915,431.163,,,,,,,,1650,3411400,85009,34290,41282.2,-6992.2,,85.0127,96.8,97,,75.7,4765.1,55.1,20,39.2,,41.9,-32,,,4976.6,8.7,4394.5,3857.568,69.869,85009,,85.0127,309597,831.7,6.91,6.38,7.3374,9.52,8.09,3411400,2359,2047.1826,636.1072,134.7,139.5,96.8,97,,,0.067281133
2/15/91,108736,117755,8265,6.6,,10.39,10.95,,807.03043,59.4,,252253,134.8,140.2,5.31,590,,,,,482,,27,79.3477,39.4,,-22.2,,62.7585,437.964,,,,,,,,-26191,3458600,82798,33637.2,39411.9,-5774.7,,83.7732,96.7,95,,75.5,4787.7,59.4,27,39.4,,44.3,-22.2,,,4983.2,8.3,4403.1,3883.346,70.049,82798,,83.7732,306945,822.1,6.25,6.2,6.7125,9.05,7.85,3458600,6483,2052.3409,635.9381,134.8,140.2,96.7,95,,,0.02220285
3/15/91,108578,117652,8586,6.8,,10.41,10.99,,808.35183,81.1,,252507,134.8,140.5,4.9,669,,,,,507,,36,78.8394,40.7,,-11.6,,62.4265,427.999,,,,,,,,-41173,3465200,78003,34411.7,38896.7,-4485,,88.176,96.4,95,,75.2,4812.1,81.1,36,40.7,,44.2,-11.6,,,4991.6,7.4,4411.5,3929.743,70.19,78003,,88.176,311089,833.7,6.12,5.91,6.5688,9,8.11,3465200,-13484,2057.1123,635.2906,134.8,140.5,96.4,95,,,0.000346463
4/15/91,108366,118109,8439,6.7,,10.46,11.05,,807.81895,79.4,,252778,135.1,140.9,4.89,675,,,,,508,,41,78.9089,42.8,,-6.5,,62.5503,435.154,,,,,,,,30009,3445100,78297,35302.6,39769.4,-4466.8,,89.8699,96.6,94.2,,76,4818.8,79.4,41,42.8,,42,-6.5,,,5017.8,8,4434.6,3923.916,70.326,78297,,89.8699,314068,851.9,5.91,5.7,6.2232,9,8.04,3445100,3222,2055.7915,631.3033,135.1,140.9,96.6,94.2,,,0.038577328
5/15/91,108243,117440,8736,6.9,,10.49,11.09,,807.83216,76.4,,253060,135.6,141.3,4.95,746,,,,,517,,40,79.6096,44.5,,3.9,,63.1756,424.804,,,,,,,,-53367,3497200,78263,35109.7,40256,-5146.3,,90.4827,96.4,94,,76.5,4814.2,76.4,40,44.5,,47,3.9,,,5038.1,7.7,4453,3950.021,70.607,78263,,90.4827,314339,840.3,5.78,5.68,6.0595,8.5,8.07,3497200,16961,2053.9615,627.7715,135.6,141.3,96.4,94,,,-0.047892671
6/15/91,108337,117639,8692,6.9,,10.52,11.13,,805.99466,78,,253350,136,141.8,4.7,792,,,,,516,,42,80.2321,50.3,,13,,63.742,425.835,,,,,,,,-2579,3538000,74940,34926.2,39842.7,-4916.5,,92.2858,96.1,93.4,,76.6,4818.9,78,42,50.3,,47.9,13,,,5073,8.2,4483.4,3957.136,70.758,74940,,92.2858,318071,856.7,5.9,5.69,6.2063,8.5,8.28,3538000,-6809,2052.895,626.3843,136,141.8,96.1,93.4,,,0.04485936
7/15/91,108298,117568,8586,6.8,,10.54,11.17,,804.02756,77.7,,253650,136.2,142.3,4.45,760,,,,,511,,41,80.2144,50.6,,19.9,,63.8029,426.788,,,,,,,,-40831,3576800,74816,34870.5,40413.4,-5542.9,,92.0878,95.7,92.8,,77.4,4817.3,77.7,41,50.6,,49.8,19.9,,,5069.3,7.6,4481.4,3982.356,70.973,74816,,92.0878,319987,860.9,5.82,5.69,6.1386,8.5,8.27,3576800,875,2043.8695,623.2366,136.2,142.3,95.7,92.8,,,0.019648797
8/15/91,108308,117484,8666,6.9,,10.56,11.13,,802.02192,76.1,,253966,136.6,142.9,3.8,675,,,,,526,,36,80.1744,52.9,,27,,63.8503,436.351,,,,,,,,-43649,3614400,73514,34856.3,40901.9,-6045.6,,90.9057,96,93.1,,77.5,4804.7,76.1,36,52.9,,54.5,27,,,5089.1,7.9,4500.2,3985.402,71.166,73514,,90.9057,320051,863.2,5.66,5.48,5.7708,8.5,7.9,3614400,1171,2036.2779,618.3736,136.6,142.9,96,93.1,,,-0.019143717
9/15/91,108340,117928,8722,6.9,,10.58,11.24,,800.88934,72.9,,254280,137,143.4,3.39,737,,,,,487,,37,80.7768,54.9,,20,,64.4151,435.766,,,,,,,,-6887,3665300,74731,35158.6,41488.2,-6329.6,,89.1465,95.6,93.3,,78.1,4788.1,72.9,37,54.9,,54.4,20,,,5122.7,8.1,4528.7,4001.16,71.449,74731,,89.1465,321825,865.4,5.45,5.26,5.619,8.2,7.65,3665300,-5666,2036.2412,620.5743,137,143.4,95.6,93.3,,,0.011859949
10/15/91,108355,117800,8842,7,,10.59,11.22,,798.61698,60.1,,254576,137.2,143.7,2.92,692,,,,,524,,37,80.5174,53.1,,9.5,,64.2992,439.459,,,,,,,,-36594,3717100,74508,36655.5,42461.9,-5806.4,,88.2639,96.6,94.1,,78,4786.7,60.1,37,53.1,,55.6,9.5,,,5139.5,8.6,4544.3,3992.85,71.605,74508,,88.2639,323057,874,5.21,4.95,5.4701,8,7.53,3717100,-3907,2037.6025,620.9766,137.2,143.7,96.6,94.1,,,-0.043928044
11/15/91,108298,117770,8931,7,,10.61,11.27,,798.27498,52.7,,254841,137.8,144.2,2.99,610,,,,,575,,37,80.2977,49.5,,1.3,,64.2209,433.639,,,,,,,,-44684,3747400,74651,37085.3,41653.4,-4568.1,,86.7001,96.7,94.5,,77.9,4784.1,52.7,37,49.5,,53,1.3,,,5161,8.4,4563,4020.647,71.736,74651,,86.7001,328415,892.3,4.81,4.47,5.0714,7.58,7.42,3747400,8340,2039.3299,618.4079,137.8,144.2,96.7,94.5,,,0.111587868
12/15/91,108324,117466,9198,7.3,,10.64,11.34,,798.02897,52.5,,255089,138.2,144.7,3.06,628,,,,,558,,35,79.8435,46.8,,-18.8,,63.9602,433.334,,,,,,,,-2534,3801700,77719,35619.3,41795,-6175.7,,85.5114,95.7,94.3,,77.7,4781.9,52.5,35,46.8,,48.9,-18.8,,,5218.7,9.1,4616.1,4037.713,71.907,77719,,85.5114,335415,915.6,4.43,3.95,4.6063,7.21,7.09,3801700,1774,2043.2466,618.3171,138.2,144.7,95.7,94.3,,,-0.019899782
1/15/92,108375,117978,9283,7.3,,10.65,11.24,,798.98271,50.2,164083,255331,138.3,145.1,2.6,619,,,,,676,,44,79.2344,47.3,,-2.2,,63.596,441.354,,,808281,188403,,,,-15668,3809300,75867,35403.7,41809.5,-6405.8,,85.6063,95.7,94,,78.4,4788.4,50.2,44,47.3,,49.1,-2.2,,,5254.6,8.8,4671.7,4101.89,72.099,75867,,85.6063,333149,916.4,4.03,3.94,4.1815,6.5,7.03,3809300,7672,2042.0276,613.5814,138.3,145.1,95.7,94,,,0.009564813
2/15/92,108314,117753,9454,7.4,,10.67,11.28,,799.64038,47.3,164260,255576,138.6,145.4,2.82,590,,,,,639,,49,79.6316,52.7,,0.6,,64.0409,447.083,223500,191896,809588,189335,,,,-49180,3829100,75089,37702.1,41370.6,-3668.5,,87.3721,96.3,94,,78.6,4803,47.3,49,52.7,,50.2,0.6,,,5296.7,9.2,4707,4116.778,72.292,75089,,87.3721,331242,915.1,4.06,4.02,4.175,6.5,7.34,3829100,6159,2038.8942,609.7087,138.6,145.4,96.3,94,,,-0.021831839
3/15/92,108369,118144,9460,7.4,,10.7,11.32,,799.44211,56.5,163747,255848,139.1,145.9,3.19,665,,,,,553,,46,80.1578,54.6,,15,,64.5973,462.168,233732,199432,812709,190547,,,,-50712,3881300,74657,37208.1,42681.2,-5473.1,,89.6101,96.2,93.9,,79.3,4796.8,56.5,46,54.6,,50.9,15,,,5319.2,9.2,4725.3,4134.335,72.473,74657,,89.6101,335595,929.6,3.98,4.15,4.386,6.5,7.54,3881300,-10236,2038.7278,607.3767,139.1,145.9,96.2,93.9,,,0.02789269
4/15/92,108527,118426,9415,7.4,,10.72,11.36,,797.65814,65.1,164759,256139,139.4,146.3,3.18,693,,,,,546,,46,80.5792,52.6,,20,,65.0756,461.312,238173,200307,815477,189951,,,,14603,3892000,74712,36558.4,43398.8,-6840.4,,89.2531,96.4,93.6,,79.9,4778,65.1,46,52.6,,54.4,20,,,5354.4,9.4,4752.2,4149.016,72.71,74712,,89.2531,333124,953.7,3.73,3.79,4.1703,6.5,7.48,3892000,7584,2039.835,604.444,139.4,146.3,96.4,93.6,,,0.000963972
5/15/92,108654,118375,9744,7.6,,10.74,11.4,,797.6679,71.9,165617,256437,139.7,146.8,3.02,692,,,,,554,,47,80.6597,55.7,,17,,65.2831,465.965,241916,204434,815010,189115,,,,-46773,3934400,74587,36012,43954.1,-7942.1,,88.1551,96.7,94,,80.6,4770.1,71.9,47,55.7,,55.7,17,,,5390.3,9.4,4782.4,4176.066,72.813,74587,,88.1551,334541,942.9,3.82,3.8,3.9601,6.5,7.39,3934400,-6670,2036.2044,602.2496,139.7,146.8,96.7,94,,,-0.017358854
6/15/92,108719,118419,10040,7.8,,10.77,11.41,,797.27631,72.6,166098,256742,140.1,147.1,3.09,837,,,,,596,,45,80.4968,53.6,,15,,65.2957,464.179,240660,206045,820470,192831,,,,3782,3984700,77092,38356.1,44954.1,-6598,,86.2159,96.5,94.8,,80.9,4754.4,72.6,45,53.6,,56.2,15,,,5422.7,9.5,4811.4,4194.989,72.869,77092,,86.2159,337098,951,3.76,3.65,3.9943,6.5,7.26,3984700,16317,2031.3643,601.0692,140.1,147.1,96.5,94.8,,,0.039373744
7/15/92,108792,118713,9850,7.7,,10.79,11.4,,798.06816,61.2,167305,257063,140.5,147.6,3.16,754,,,,,627,,46,81.0391,53.9,,27.5,,65.8801,464.913,238609,203746,825008,191989,,,,-43147,4010600,77371,37501.9,44989.4,-7487.5,,84.2025,96.6,95.3,,81.2,4739.5,61.2,46,53.9,,58.4,27.5,,,5435.6,9.1,4823.7,4223.015,73.144,77371,,84.2025,340424,962,3.25,3.25,3.517,6.02,6.84,4010600,-7493,2026.7816,599.2656,140.5,147.6,96.6,95.3,,,-0.023997548
8/15/92,108930,118826,9787,7.6,,10.82,11.4,,799.8238,59,167797,257390,140.8,147.9,3.15,611,,,,,636,,49,80.4707,53.4,,16.7,,65.5581,458.958,235633,202719,826136,192602,,,,-24742,4048900,78475,36444.8,45466.5,-9021.7,,83.4086,96.3,95.7,,81.6,4740,59,49,53.4,,57.9,16.7,,,5463.6,9.2,4846.5,4239.305,73.21,78475,,83.4086,342727,970.1,3.3,3.23,3.4507,6,6.59,4048900,4390,2024.7422,597.2334,140.8,147.9,96.3,95.7,,,0.00910562
9/15/92,108966,118720,9781,7.6,,10.82,11.48,,800.1989,57.3,169407,257704,141.1,148.1,2.99,711,,,,,650,,48,80.4977,49.7,,21,,65.715,464.654,239052,207022,827501,193344,,,,5310,4064600,78527,37469.5,45670.9,-8201.4,,84.1096,96.6,95.9,,81.8,4748.2,57.3,48,49.7,,57.7,21,,,5449.6,8.2,4830.2,4273.904,73.331,78527,,84.1096,346903,982.7,3.22,2.74,3.2837,6,6.42,4064600,-8153,2031.5989,598.4122,141.1,148.1,96.6,95.9,,,0.002106271
10/15/92,109147,118628,9398,7.3,,10.85,11.44,,799.55599,54.6,170681,258004,141.7,148.8,3.2,642,,,,,621,,50,80.9349,50.3,,-4.8,,66.2013,472.017,242803,202475,827915,193625,,,,-48792,4067300,74206,38931.7,46159.5,-7227.8,,86.2203,96.3,96.6,,82.1,4750.1,54.6,50,50.3,,50.2,-4.8,,,5442.3,7.4,4816.2,4303.537,73.615,74206,,86.2203,349808,1000.8,3.1,3.02,3.4371,6,6.59,4067300,2527,2031.0045,596.8713,141.7,148.8,96.3,96.6,,,0.030261775
11/15/92,109283,118876,9565,7.4,,10.87,11.49,,802.69798,65.6,171025,258280,142.1,149.2,3.05,593,,,,,614,,54,81.1351,53.6,,18.2,,66.4879,471.807,240286,207409,829834,195300,,,,-32726,4132797,72232,37744.3,45971.2,-8226.9,,89.9252,96.2,96,,82.8,4744.3,65.6,54,53.6,,53.7,18.2,,,5459.7,7.3,4828.3,4319.46,73.779,72232,,89.9252,355924,1021.4,3.09,3.34,3.7961,6,6.87,4132797,14786,2031.7009,596.8899,142.1,149.2,96.2,96,,,0.010107801
12/15/92,109494,118997,9557,7.4,,10.89,11.58,,806.11869,78.1,172995,258546,142.3,149.6,2.9,639,,,,,650,,56,81.0634,54.2,,25.4,,66.5431,478.324,244173,209452,835800,196914,,,,-38947,4177000,71324,38830.9,46238.6,-7407.7,,90.193,96.3,94.4,,83.9,4733.5,78.1,56,54.2,,58.4,25.4,,,5668,9.9,5008.2,4355.57,73.917,71324,,90.193,361903,1045.6,2.92,3.15,3.6369,6,6.77,4177000,-1515,2035.3652,596.4286,142.3,149.6,96.3,94.4,,,0.007045971
1/15/93,109804,119075,9325,7.3,,10.93,11.56,,809.32543,76.7,175078,258799,142.8,150.1,3.26,618,13.22,11.03,6.5,4.53,596,,55,81.2744,55.8,,31.1,,66.8264,458.08,239924,209361,835995,197552,,,,29817,4167199,71962,37616,45495,-7879,,91.5019,96.4,94.3,,84.4,4714.4,76.7,55,55.8,,62.1,31.1,,,5540.1,8.3,4926.6,4359.727,74.129,71962,,91.5019,360650,1039.8,3.02,2.97,3.3469,6,6.6,4167199,-5765,2035.5766,595.4805,142.8,150.1,96.4,94.3,,,0.010483614
2/15/93,110047,119275,9183,7.1,,10.94,11.56,,814.05892,68.5,173770,259036,143.1,150.6,3.25,548,12.73,10.54,6.04,4.5,604,,52,81.5035,55.2,,34.3,,67.1172,462.967,247176,208770,838105,197207,,,,-48498,4197000,72847,37064,45102,-8038,,91.4854,96.7,94.2,,84.9,4701,68.5,52,55.2,,61,34.3,,,5568.3,8.4,4951.1,4374.318,74.271,72847,,91.4854,359533,1021.9,3.03,3,3.2387,6,6.26,4197000,-6986,2035.627,593.4773,143.1,150.6,96.7,94.2,,,0.01869728
3/15/93,109998,119542,9056,7,,10.99,11.58,,813.65629,63.2,172328,259283,143.3,150.8,3.09,654,13.07,11.02,6.33,4.68,602,,53,81.3025,53.5,,16.2,,67.0479,458.399,245506,210667,844816,198831,,,,-43974,4230598,74378,39027,48969,-9942,,90.4383,96.6,94.7,,84.8,4687.6,63.2,53,53.5,,59.6,16.2,,,5564.5,8.3,4944.8,4371.42,74.431,74378,,90.4383,362723,1030.5,3.07,2.96,3.2401,6,5.98,4230598,2165,2035.1165,591.2783,143.3,150.8,96.6,94.7,,,-0.025416787
4/15/93,110306,119474,9110,7.1,,10.99,11.64,,819.75694,67.6,176766,259547,143.8,151.4,3.23,700,14.27,11.96,6.89,5.07,701,,52,81.4373,50.2,,23.3,,67.2498,469.425,244703,209008,846790,199622,,,,7817,4254098,75644,38717,48573,-9856,,88.2591,96.8,95.2,,85.4,4674.5,67.6,52,50.2,,56.1,23.3,,,5618.7,8.2,4981,4412.355,74.651,75644,,88.2591,368849,1057.4,2.96,2.95,3.2266,6,5.97,4254098,1677,2035.1081,585.7101,143.8,151.4,96.8,95.2,,,0.022717463
5/15/93,110573,120115,9149,7.1,,11.02,11.66,,819.75905,61.9,178445,259822,144.2,151.8,3.22,710,14.24,11.95,6.84,5.1,626,,51,81.0671,51.2,,14.8,,67.0325,468.998,245194,210158,847301,199395,,,,-36963,4296297,76711,39592,47942,-8350,,87.9304,97.1,95.5,,85.5,4695,61.9,51,51.2,,52.7,14.8,,,5633.4,7.7,4988,4441.252,74.904,76711,,87.9304,370845,1056.8,3,3.13,3.2434,6,6.04,4296297,-3103,2049.3976,588.0423,144.2,151.8,97.1,95.5,,,0.000755237
6/15/93,110752,120290,9121,7,,11.03,11.66,,823.81181,58.6,178201,260109,144.3,152.1,3,859,14.22,12.1,6.95,5.16,653,,53,81.1057,49.6,,3.5,,67.1532,480.247,249521,210448,849144,199698,,,,11099,4352000,73969,37932,49189,-11257,,88.4614,96.9,95,,85.8,4700.9,58.6,53,49.6,,53.7,3.5,,,5627.3,7.2,4979.8,4458.757,74.976,73969,,88.4614,375841,1071.8,3.04,3.1,3.3377,6,5.96,4352000,-12311,2058.527,590.2585,144.3,152.1,96.9,95,,,-0.005327059
